source_dataset,is_canonical_borough_price,is_visible_borough_row,is_raw_embedded_map_row,is_pub_page_row,borough,rank,pub_name,pint_name,price_text,price_gbp,pub_url,borough_url,estimated_average_price_text,scraped_at,pub_key,address,beer_garden,booking_link,cocktails,comment,cool,darts,description,distance,email,food,happy_hour,image_url,karaoke,latitude,live_music,live_sports,locality,longitude,name,phone_number,pool,pub_quiz,website,constructed_pub_url
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,1,Finchley United Services Club Ltd,FOSTERS,£3.20,3.2,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Finchley United Services Club Ltd51.6125,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",,,,,,,,2.3083299994944673,Facebook or phone,,,,,51.6125,,,,-0.178148,Finchley United Services Club Ltd,020 8445 3542,,,,https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,2,Finchley United Services Club Ltd,CARLING,£3.20,3.2,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Finchley United Services Club Ltd51.6125,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",,,,,,,,2.3083299994944673,Facebook or phone,,,,,51.6125,,,,-0.178148,Finchley United Services Club Ltd,020 8445 3542,,,,https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,3,Finchley United Services Club Ltd,STRONGBOW,£3.20,3.2,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Finchley United Services Club Ltd51.6125,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",,,,,,,,2.3083299994944673,Facebook or phone,,,,,51.6125,,,,-0.178148,Finchley United Services Club Ltd,020 8445 3542,,,,https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,4,The Bohemia,CASK ALE,£4.70,4.7,"https://www.pint-prices.com/pub/762-764%20High%20Rd,%20London%20N12%209QH,%20UK/The%20Bohemia",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,The Bohemia51.6153,"762-764 High Rd, London N12 9QH, UK",,,,,,,,2.0310232944755713,info@thebohemia.co.uk,,,,,51.6153,,,,-0.176423,The Bohemia,020 8446 0294,,,,https://www.pint-prices.com/pub/762-764%20High%20Rd%2C%20London%20N12%209QH%2C%20UK/The%20Bohemia
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,5,Arnos Arms,AMSTEL,£5.50,5.5,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Arnos Arms51.6162,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780985,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,6,Arnos Arms,LANDLORD,£5.70,5.7,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Arnos Arms51.6162,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780985,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,7,The Bohemia,KEG ALE,£5.95,5.95,"https://www.pint-prices.com/pub/762-764%20High%20Rd,%20London%20N12%209QH,%20UK/The%20Bohemia",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,The Bohemia51.6153,"762-764 High Rd, London N12 9QH, UK",,,,,,,,2.0310232944755713,info@thebohemia.co.uk,,,,,51.6153,,,,-0.176423,The Bohemia,020 8446 0294,,,,https://www.pint-prices.com/pub/762-764%20High%20Rd%2C%20London%20N12%209QH%2C%20UK/The%20Bohemia
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,8,Arnos Arms,HEINEKEN,£6.50,6.5,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Arnos Arms51.6162,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780985,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,9,Arnos Arms,BIRRA MORETTI,£6.60,6.6,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,Arnos Arms51.6162,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780985,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms
canonical_borough_leaderboard_enriched,True,True,False,False,Barnet,10,The Elephant Inn,GUINNESS,£6.70,6.7,https://www.pint-prices.com/pub/N12%208NR/The%20Elephant%20Inn,https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,The Elephant Inn51.6115,N12 8NR,,,,AUTO_ADDED_PINT,,,,2.4488895277357106,,,,,,51.6115,,,,-0.179472,The Elephant Inn,,,,,https://www.pint-prices.com/pub/N12%208NR/The%20Elephant%20Inn
