borough,pub_key,pub_name,pint_name,price_text,price_gbp,pint_position_for_pub,constructed_pub_url,borough_url,scraped_at,address,beer_garden,booking_link,cocktails,comment,cool,darts,description,distance,email,food,happy_hour,image_url,karaoke,latitude,live_music,live_sports,locality,longitude,name,phone_number,pool,pub_quiz,website
Barnet,Arnos Arms51.6162,Arnos Arms,Amstel,5.50,5.5,1,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780983,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,
Barnet,Arnos Arms51.6162,Arnos Arms,Landlord,5.70,5.7,2,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780983,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,
Barnet,Arnos Arms51.6162,Arnos Arms,Heineken,6.50,6.5,3,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780983,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,
Barnet,Arnos Arms51.6162,Arnos Arms,Birra Moretti,6.60,6.6,4,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780983,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,
Barnet,Arnos Arms51.6162,Arnos Arms,Neck Oil,6.80,6.8,5,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"338 Bowes Road, Arnos Grove, London, N11 1AN",,,,,,,,1.6820469543780983,arnosarms@craftlocals.com,,,,,51.6162,,,,-0.132117,Arnos Arms,0208 368 4456,,,
Barnet,Finchley United Services Club Ltd51.6125,Finchley United Services Club Ltd,Fosters,3.20,3.2,1,https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",,,,,,,,2.3083299994944673,Facebook or phone,,,,,51.6125,,,,-0.178148,Finchley United Services Club Ltd,020 8445 3542,,,
Barnet,Finchley United Services Club Ltd51.6125,Finchley United Services Club Ltd,Carling,3.20,3.2,2,https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",,,,,,,,2.3083299994944673,Facebook or phone,,,,,51.6125,,,,-0.178148,Finchley United Services Club Ltd,020 8445 3542,,,
Barnet,Finchley United Services Club Ltd51.6125,Finchley United Services Club Ltd,Strongbow,3.20,3.2,3,https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",,,,,,,,2.3083299994944673,Facebook or phone,,,,,51.6125,,,,-0.178148,Finchley United Services Club Ltd,020 8445 3542,,,
Barnet,The Bohemia51.6153,The Bohemia,Cask Ale,4.70,4.7,1,https://www.pint-prices.com/pub/762-764%20High%20Rd%2C%20London%20N12%209QH%2C%20UK/The%20Bohemia,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"762-764 High Rd, London N12 9QH, UK",,,,,,,,2.0310232944755713,info@thebohemia.co.uk,,,,,51.6153,,,,-0.176423,The Bohemia,020 8446 0294,,,
Barnet,The Bohemia51.6153,The Bohemia,Keg Ale,5.95,5.95,2,https://www.pint-prices.com/pub/762-764%20High%20Rd%2C%20London%20N12%209QH%2C%20UK/The%20Bohemia,https://www.pint-prices.com/borough-results/Barnet,2026-07-03T23:10:47+00:00,"762-764 High Rd, London N12 9QH, UK",,,,,,,,2.0310232944755713,info@thebohemia.co.uk,,,,,51.6153,,,,-0.176423,The Bohemia,020 8446 0294,,,
